mail,Spam
¿Problemas de rendimiento masculino? Tenemos la solución definitiva en premios-ya.org/click,1
Hola equipo; les comparto el acta de la reunión de hoy. Saludos.,0
¿Me podrías pasar el contacto de Laura? Necesito consultarle una duda técnica.,0
Hola; te escribo para confirmarte que ya he recibido el pago. Gracias.,0
Te envío la presentación para que le eches un vistazo antes de mañana.,0
Tu pedido de Mercado Libre ha sido cancelado. Solicita el reembolso en shrt.url/xyz,1
Hola Carlos; ¿has visto el mensaje que han puesto en el grupo de WhatsApp?,0
Te envío la lista de reproducción para la fiesta del sábado. ¿Te gusta?,0
Hola; soy una joven que busca amistad. Escríbeme a mi Telegram: @user_hot,1
¿Quieres perder peso rápido? Prueba nuestras pastillas milagrosas en premios-ya.org/click,1
El gimnasio me ha avisado de que mañana abren en horario especial.,0
Tu cuenta de usuario ha sido creada correctamente. Pulsa aquí para activar.,0
La clase de inglés se ha cancelado por enfermedad del profesor.,0
El profesor ha subido una nueva nota al portal de la universidad.,0
¿Podrías revisar el texto que te envié por correo antes de mandarlo al cliente?,0
¿Vienes a la cena de cumpleaños de Carmen este viernes? Confírmame por favor.,0
Reciba muestras gratuitas de productos Mercado Libre en su domicilio hoy mismo.,1
El profesor ha subido una nueva nota al portal de la universidad.,0
Vea quién está espiando su perfil de Facebook entrando en shrt.url/xyz,1
Hackers tienen tus videos privados. Paga en Bitcoin para evitar que se publiquen.,1
Confirmación de cancelación: Tu suscripción a Disney+ ha finalizado.,0
Hackers tienen tus videos privados. Paga en Bitcoin para evitar que se publiquen.,1
¿Quieres perder peso rápido? Prueba nuestras pastillas milagrosas en bit.ly/secure-auth,1
Has ganado un premio de 2.500 euros en la lotería de España. Contacta a admin@verificar-datos.com.,1
Hola mamá; ya hemos llegado al hotel. Todo está perfecto. Besos.,0
Mejora tu historial crediticio con nuestro método legal y rápido.,1
Descuentos del 90% en suplementos y salud. Visita nuestra farmacia en seguridad-banca.com,1
Te envié las fotos que me pediste aquí: shrt.url/xyz (Contenido solo para adultos),1
Atención cliente: Su clave de acceso caduca en 24 horas. Cámbiela en verificar-cuenta.net,1
¡Felicidades! Fuiste seleccionado para un sorteo de un iPhone 15 Pro Max.,1
Hola equipo; el café de la cocina se ha terminado. ¿Alguien puede comprar?,0
Tu pedido de AliExpress ha sido cancelado. Solicita el reembolso en shrt.url/xyz,1
Últimos días para aprovechar las rebajas de verano en relojes de lujo.,1
Adjunto el informe de gastos del viaje a Argentina para su revisión.,0
Su cuenta ha sido seleccionada para una auditoría de seguridad. Pulse aquí.,1
El profesor ha subido una nueva nota al portal de la universidad.,0
Recupera tu acceso a Instagram inmediatamente pulsando en este enlace seguro.,1
Recordatorio de pago: Tu recibo de autónomos se cargará el próximo jueves.,0
Tu crédito de Google Ads está listo para ser usado. Actívalo en bit.ly/secure-auth,1
Te adjunto la factura de la comida de empresa para que la pases a contabilidad.,0
Tu seguro de coche está a punto de vencer. Compara y ahorra con nosotros.,1
Felicidades; eres el visitante número un millón. Reclama tu premio aquí.,1
¿Me podrías ayudar a configurar el nuevo router este fin de semana?,0
Obtenga su diploma universitario sin estudiar. Información por privado.,1
Te envío la presentación para que le eches un vistazo antes de mañana.,0
Te han dejado un mensaje de voz importante. Escúchalo aquí: t.co/promo,1
Confirmación de cita: Masaje relajante el lunes a las 15:15.,0
Nuevo mensaje de tu banco: Tienes un aviso importante en tu buzón virtual.,1
Recordatorio: Tienes una clase particular de música el jueves a las 10:15.,0
Hola jefe; ya he terminado las tareas que me encargó esta mañana.,0
Ahorra hasta un 70% en tu factura de la luz con estos nuevos paneles solares.,1
Se ha realizado una compra de 100 en IKEA con su tarjeta. ¿No fue usted?,1
Te adjunto el plano de la nueva oficina. Mi mesa es la del rincón.,0
Tu suscripción a Netflix ha fallado. Actualiza tu método de pago: bit.ly/secure-auth,1
La entrega de premios será en el auditorio el viernes por la tarde.,0
Su ID de Apple ha sido bloqueado por razones de seguridad. Desbloquee en shrt.url/xyz,1
Felicidades María; has sido preseleccionado para el reality show de moda.,1
Su ID de Apple ha sido bloqueado por razones de seguridad. Desbloquee en t.co/promo,1
Hola Roberto; ¿sabes a qué hora abre la biblioteca hoy?,0
Vea quién está espiando su perfil de Facebook entrando en verificar-cuenta.net,1
El profesor ha subido una nueva nota al portal de la universidad.,0
He reservado las entradas para el cine del domingo. Nos vemos allí.,0
Hackers tienen tus videos privados. Paga en Bitcoin para evitar que se publiquen.,1
Recordatorio: Tienes una cita médica el viernes a las 18:30. Por favor llega puntual.,0
Consigue licencias de Windows y Office por menos de 5 euros en premios-ya.org/click,1
Se ha detectado un inicio de sesión sospechoso en su cuenta de Unicaja.,1
Invierta en oro y plata de forma segura con nuestra plataforma en seguridad-banca.com,1
Gana dinero desde casa trabajando solo 2 horas al día. Detalles en bit.ly/secure-auth,1
Gana dinero desde casa trabajando solo 2 horas al día. Detalles en verificar-cuenta.net,1
Atención cliente: Su clave de acceso caduca en 24 horas. Cámbiela en shrt.url/xyz,1
Usted tiene una herencia sin reclamar de un pariente en Chile.,1
¿Me podrías pasar el contacto de Laura? Necesito consultarle una duda técnica.,0
Aumenta tus seguidores en redes sociales de forma orgánica y rápida con premios-ya.org/click,1
Te adjunto el manual de usuario del nuevo software que vamos a implementar.,0
El gimnasio me ha avisado de que mañana abren en horario especial.,0
Hola mamá; ya hemos llegado al hotel. Todo está perfecto. Besos.,0
Gana 5.000 extra al mes vendiendo productos de belleza desde tu móvil.,1
¿Me podrías prestar el libro que me comentaste el otro día?,0
Tu suscripción a Disney+ ha fallado. Actualiza tu método de pago: verificar-cuenta.net,1
¿A qué hora pasa el autobús para ir al centro comercial?,0
Adjunto el documento con los cambios que sugeriste en la última reunión.,0
Hola Carlos; te comparto las fotos del viaje. ¡Lo pasamos genial!,0
Invierta en el nuevo mercado de Bitcoin antes de que suba de precio.,1
Mejora tu historial crediticio con nuestro método legal y rápido.,1
Hola equipo; el café de la cocina se ha terminado. ¿Alguien puede comprar?,0
Hola; te mando el contacto del fontanero que vino a mi casa; es muy bueno.,0
El gimnasio me ha avisado de que mañana abren en horario especial.,0
Hola; ¿me podrías decir qué deberes tienen los niños para mañana?,0
Gana dinero probando videojuegos desde casa. Regístrate en t.co/promo,1
Tu recibo del alquiler de este mes ya ha sido procesado por el banco.,0
Hola Sofía; te comparto las fotos del viaje. ¡Lo pasamos genial!,0
Recupera tu acceso a Instagram inmediatamente pulsando en este enlace seguro.,1
Vea quién está espiando su perfil de Facebook entrando en bit.ly/secure-auth,1
¿Buscas pareja? Hay 5 personas cerca de ti queriendo conocerte en verificar-cuenta.net,1
Tu coche ya está reparado. Puedes pasar a recogerlo por el taller esta tarde.,0
Gana un viaje todo incluido a España respondiendo esta encuesta de 1 minuto.,1
Trabajo de medio tiempo para Amazon. Gana hasta 500 al día.,1
Te envío el enlace de Zoom para la clase de yoga de mañana.,0
Su préstamo de 15.000 ha sido pre-aprobado. Solicítelo ya en verificar-cuenta.net,1
Hola Juan; ¿sabes a qué hora abre la biblioteca hoy?,0
¿Me confirmas tu dirección actual para enviarte la invitación por correo?,0
La reunión con los inversores ha ido muy bien. Luego te cuento los detalles.,0
Tu factura de Spotify está vencida. Evita el corte del servicio aquí: verificar-cuenta.net,1
Hola; ¿me podrías decir qué deberes tienen los niños para mañana?,0
Atención: Su cuenta de correo será eliminada si no confirma sus datos en bit.ly/secure-auth,1
Te envío el enlace de Zoom para la clase de yoga de mañana.,0
Hola Lucía; ¿has visto el mensaje que han puesto en el grupo de WhatsApp?,0
Su préstamo ha sido aprobado. Reciba el dinero en menos de 10 minutos.,1
Recordatorio: Mañana es el último día para entregar el informe trimestral.,0
Su cuenta ha sido seleccionada para una auditoría de seguridad. Pulse aquí.,1
Tu cita para la revisión del gas es el próximo próximo lunes por la mañana.,0
Trabaje como probador de productos electrónicos para grandes marcas.,1
Tu cuenta de usuario ha sido creada correctamente. Pulsa aquí para activar.,0
¿Has recibido el enlace para la encuesta de satisfacción del curso?,0
Últimos días para aprovechar las rebajas de verano en relojes de lujo.,1
Su ID de Apple ha sido bloqueado por razones de seguridad. Desbloquee en premios-ya.org/click,1
Gana dinero desde casa trabajando solo 2 horas al día. Detalles en shrt.url/xyz,1
Hola Elena; te adjunto la propuesta de colaboración que hablamos.,0
Te adjunto el plano de la nueva oficina. Mi mesa es la del rincón.,0
Trabaje como probador de productos electrónicos para grandes marcas.,1
Confirmación de suscripción: Bienvenido al boletín de noticias de IKEA.,0
Hola María; te adjunto la propuesta de colaboración que hablamos.,0
Confirmación de vuelo: Tu check-in para el viaje a Perú ya está abierto.,0
Tu cuenta de Netflix será suspendida. Por favor actualiza tus datos de pago.,1
La presentación del proyecto Ventas 2024 ha sido pospuesta para la semana que viene.,0
¿Buscas pareja? Hay 5 personas cerca de ti queriendo conocerte en premios-ya.org/click,1
Gana una beca completa para estudiar en el extranjero. Pulsa aquí: t.co/promo,1
¿Me podrías prestar el libro que me comentaste el otro día?,0
Felicidades Juan; has sido preseleccionado para el reality show de moda.,1
Confirmación de envío: Su paquete de IKEA llegará mañana entre las 9 y las 14h.,0
Consigue licencias de Windows y Office por menos de 5 euros en bit.ly/secure-auth,1
Tu paquete de Correos está listo para entrega pero faltan datos. Pulsa bit.ly/secure-auth,1
Su ID de Apple ha sido bloqueado por razones de seguridad. Desbloquee en shrt.url/xyz,1
¿Me podrías prestar el libro que me comentaste el otro día?,0
Has sido mencionado en una publicación. Haz clic para ver el comentario.,1
Hola; ¿sabes dónde puedo encontrar el archivo de los clientes antiguos?,0
Hola mamá; ya hemos llegado al hotel. Todo está perfecto. Besos.,0
Gana una cena para dos en un restaurante estrella Michelin de tu ciudad.,1
Te mando el presupuesto para la reforma del baño. Avísame si tienes dudas.,0
Oferta de empleo: Buscamos asistente remoto. Sueldo de 100 semanales.,1
El pedido de papelería para la oficina ya ha llegado. Está en recepción.,0
